ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,24555.894074338623,5.399155753692254
4,conventional_steam_coal,2,13567.68,13567.68,0.0,14.498017802378637,111106.17663403711,24.42914727634759
5,natural_gas_fired_combined_cycle,2,36734.21,36734.21,0.0,39.253080153446675,102566.44831011214,22.551499361125835
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,362.42477697121825,0.07968709320625655
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,43854.72,9.642428945888017
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,15291.390292499997,3.3621499437066977
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,886.5202027500001,0.19492104986900188
12,conventional_steam_coal,3,650.0,650.0,0.0,0.6945705950867145,4992.608943292465,1.0977353632699658
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,20024.550882367155,4.4028398552435055
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,51.21200871966379,0.011260091393937886
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,25951.76958949861,5.706069820689717
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,297.66395917404174,0.06544799684247007
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,336.7003176523968,0.0,336.7003176523968,0.3597879076887862,922.1248914592236,0.20274952719183392
24,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
25,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
26,utilitypv_losangeles,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
27,battery,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,5988.866069999998,0.0,5988.866069999998,6.399523492514664,52267.87083497739,11.492246004058902
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,18900.74712662207,0.0,18900.74712662207,20.196774122032924,51629.64941564982,11.351918926663132
39,utilitypv_losangeles,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
40,battery,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
53,utilitypv_losangeles,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
54,battery,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
