ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,77.71661999,0.017087721193427916
4,conventional_steam_coal,2,-0.0,13567.68,-13567.68,-0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,-0.0,36734.21,-36734.21,-0.0,0.0,0.0
6,natural_gas_fired_combustion_turbine,2,-0.0,4704.48,-4704.48,-0.0,0.0,0.0
7,natural_gas_steam_turbine,2,-0.0,1118.5,-1118.5,-0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,34256.8088510742,7.532118595726771
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,11506.5923184026,2.5299793203642005
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,335.0303109282,0.07366383851002767
12,conventional_steam_coal,3,-0.0,650.0,-650.0,-0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,-0.0,3427.34,-3427.34,-0.0,0.0,0.0
14,natural_gas_fired_combustion_turbine,3,-0.0,1207.96,-1207.96,-0.0,0.0,0.0
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,615.5072453352001,0.1353329082270442
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,0.0410025,9.015308287000662e-6
17,naturalgas_ccccsavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
18,naturalgas_ccavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
19,naturalgas_ctavgcf,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
20,landbasedwind_ltrg1,1,25636.661,0.0,25636.661,27.394570595086716,435.0394391174,0.09565306165836757
21,landbasedwind_ltrg1,1,20185.447,0.0,20185.447,21.569566053663593,647.5296000039999,0.14237373255275373
22,landbasedwind_ltrg1,1,40102.072,0.0,40102.072,42.85187694346195,18736.291170564,4.119588831355234
23,utilitypv_losangeles,1,33741.526,0.0,33741.526,36.05518737377515,12.1199561392,0.0026648409492058853
24,utilitypv_losangeles,1,29357.977,0.0,29357.977,31.371057777587808,26.896177058399996,0.005913720576141226
25,utilitypv_losangeles,1,46304.676,0.0,46304.676,49.47979440710385,88.440878979,0.01944568719392723
26,utilitypv_losangeles,1,86106.838,0.0,86106.838,92.0111964779928,13580.511039709398,2.9859763116394396
27,battery,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
28,naturalgas_ccs100,1,-0.0,0.0,-0.0,-0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
30,naturalgas_ccavgcf,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
31,naturalgas_ctavgcf,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9747764016968896,4399.272391764701,0.9672775282055858
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.727985852131263,5598.272414363101,1.230904254377047
34,landbasedwind_ltrg1,2,2288.25,0.0,2288.25,2.4451556372418066,4653.54317575,1.023184594994314
35,offshorewind_otrg3,2,842.5,0.0,842.5,0.9002703482470107,1876.3214987111003,0.4125508629085467
36,offshorewind_otrg3,2,1330.0,0.0,1330.0,1.4211982945620465,3108.9087359997993,0.6835624825605205
37,offshorewind_otrg3,2,1520.0,0.0,1520.0,1.6242266223566246,3530.8695582085006,0.7763399204544957
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.272464015900326,79503.1286188621,17.480524706544895
39,utilitypv_losangeles,2,32915.25,0.0,32915.25,35.17225350758151,82675.186950175,18.177972027101806
40,battery,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
41,naturalgas_ccs100,2,-0.0,0.0,-0.0,-0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
43,naturalgas_ccavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
44,naturalgas_ctavgcf,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
45,landbasedwind_ltrg1,3,1384.425,0.0,1384.425,1.4793552247737303,120.70753359500002,0.02654022627699322
46,landbasedwind_ltrg1,3,3988.575,0.0,3988.575,4.26207217122768,378.7323567175,0.08327270176380876
47,landbasedwind_ltrg1,3,6573.825,0.0,6573.825,7.0245931419168,760.4737891725,0.16720701551304515
48,landbasedwind_ltrg1,3,8408.475,0.0,8408.475,8.98504536080271,1433.6971792201002,0.31523009721047357
49,landbasedwind_ltrg1,3,10104.75,0.0,10104.75,10.79763418569612,2523.6384243075,0.5548778342796828
50,landbasedwind_ltrg1,3,16129.125,0.0,16129.125,17.23510146073539,16260.2582577475,3.575178123769087
51,landbasedwind_ltrg1,3,10901.925,0.0,10901.925,11.64947159206266,20001.7695475475,4.397832296974148
52,utilitypv_losangeles,3,42599.25,0.0,42599.25,45.52028680422726,483.66184350000003,0.10634377478962423
53,utilitypv_losangeles,3,73962.0,0.0,73962.0,79.03358515969781,34617.3209219345,7.61138516386263
54,battery,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
55,naturalgas_ccs100,3,-0.0,0.0,-0.0,-0.0,0.0,0.0
